date,experiment,target,library,antibody,concentration,sort_bin,selection,sample,experiment_type,number_cells,frac_escape,R1
230714,exptREF3,Omicron_BA2,lib24,none,0,ref,reference,exptREF3-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2023/230925_Azenta-pools/230714_Overbaugh-DMS-batch2/2023-07-14-lib24-pre-1_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2023/230925_Azenta-pools/230714_Overbaugh-DMS-batch2/2023-07-14-lib24-pre-2_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2023/230925_Azenta-pools/230714_Overbaugh-DMS-batch2/2023-07-14-lib24-pre-3_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2023/230925_Azenta-pools/230714_Overbaugh-DMS-batch2/2023-07-14-lib24-pre-4_R1_001.fastq.gz
230714,exptREF3,Omicron_BA2,lib25,none,0,ref,reference,exptREF3-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2023/230925_Azenta-pools/230714_Overbaugh-DMS-batch2/2023-07-14-lib25-pre-1_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2023/230925_Azenta-pools/230714_Overbaugh-DMS-batch2/2023-07-14-lib25-pre-2_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2023/230925_Azenta-pools/230714_Overbaugh-DMS-batch2/2023-07-14-lib25-pre-3_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2023/230925_Azenta-pools/230714_Overbaugh-DMS-batch2/2023-07-14-lib25-pre-4_R1_001.fastq.gz
230714,expt7,Omicron_BA2,lib24,C68_490,53,abneg,escape,expt7-C68_490-53-abneg,ab_selection,400000,0.095,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/231212_bc_Overbaugh-mAbs/20231026-exp2-rep1_R1_001.fastq.gz
230714,expt7,Omicron_BA2,lib25,C68_490,53,abneg,escape,expt7-C68_490-53-abneg,ab_selection,400000,0.1,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2023/231212_bc_Overbaugh-mAbs/20231026-exp2-rep2_R1_001.fastq.gz
