date,experiment,target,library,antibody,concentration,sort_bin,selection,sample,experiment_type,number_cells,frac_escape,R1
240227,exptREF,Wuhan_Hu_1,lib12,none,0,ref,reference,exptREF-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240227-lib12-pre1_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240227-lib12-pre1_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240227-lib12-pre2_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240227-lib12-pre2_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240227-lib12-pre3_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240227-lib12-pre3_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240227-lib12-pre4_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240227-lib12-pre4_R1_001.fastq.gz
240227,exptREF,Wuhan_Hu_1,lib13,none,0,ref,reference,exptREF-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240227-lib13-pre1_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240227-lib13-pre1_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240227-lib13-pre2_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240227-lib13-pre2_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240227-lib13-pre3_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240227-lib13-pre3_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240227-lib13-pre4_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240227-lib13-pre4_R1_001.fastq.gz
240227,expt1,Wuhan_Hu_1,lib12,C68_490,53,abneg,escape,expt1-C68_490-53-abneg,ab_selection,20000,0.005,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240227-expt1-rep1_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240227-expt1-rep1_R1_001.fastq.gz
240227,expt1,Wuhan_Hu_1,lib13,C68_490,53,abneg,escape,expt1-C68_490-53-abneg,ab_selection,148000,0.037,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240227-expt1-rep2_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240227-expt1-rep2_R1_001.fastq.gz
