date,experiment,target,library,antibody,concentration,sort_bin,selection,sample,experiment_type,number_cells,frac_escape,R1
240205,exptREF,SARS1,lib30,none,0,ref,reference,exptREF-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240205-lib30-pre1_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240205-lib30-pre1_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240205-lib30-pre2_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240205-lib30-pre2_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240205-lib30-pre3_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240205-lib30-pre3_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240205-lib30-pre4_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240205-lib30-pre4_R1_001.fastq.gz
240205,exptREF,SARS1,lib31,none,0,ref,reference,exptREF-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240205-lib31-pre1_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240205-lib31-pre1_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240205-lib31-pre2_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240205-lib31-pre2_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240205-lib31-pre3_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240205-lib31-pre3_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240205-lib31-pre4_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240205-lib31-pre4_R1_001.fastq.gz
240205,expt1,SARS1,lib30,C68_490,27,abneg,escape,expt1-C68_490-27-abneg,ab_selection,129874,0.035,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240205-expt1-rep1_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240205-expt1-rep1_R1_001.fastq.gz
240205,expt1,SARS1,lib31,C68_490,27,abneg,escape,expt1-C68_490-27-abneg,ab_selection,110000,0.03,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane1/20240205-expt1-rep2_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2024/240330_Illumina_mAb-escape-WBF-Invivyd-Barnes-Overbaugh-lane2/20240205-expt1-rep2_R1_001.fastq.gz
